V - VIBRACION,TAG
0.029814272,normal
0.021505376,normal
0.021016618,normal
0.021016618,normal
0.020039101,normal
0.04056696,normal
0.038123167,normal
0.034213099,normal
0.041544477,normal
0.043010753,normal
0.04740958,normal
0.048875855,normal
0.071847507,normal
0.079178886,normal
0.075757576,normal
0.051808407,normal
0.051808407,normal
0.04740958,normal
0.040078201,normal
0.039100684,normal
0.032258065,normal
0.030791789,normal
0.007820137,normal
0.000488759,normal
0.000488759,normal
0.000488759,normal
0.004887586,normal
0.005865103,normal
0.005865103,normal
0.005376344,normal
0.005376344,normal
0.005376344,normal
0.005376344,normal
0.023949169,normal
0.023949169,normal
0.023949169,normal
0.024926686,normal
0.039100684,normal
0.051808407,normal
0.051808407,normal
0.051808407,normal
0.051808407,normal
0.051808407,normal
0.057184751,normal
0.057184751,normal
0.057184751,normal
0.060606061,normal
0.045454545,normal
0.032746823,normal
0.032746823,normal
0.03372434,normal
0.03372434,normal
0.036656891,normal
0.012707722,normal
0.012707722,normal
0.032746823,normal
0.023949169,normal
0.023949169,normal
0.041055718,normal
0.041055718,normal
0.040078201,normal
0.040078201,normal
0.03714565,normal
0.049364614,normal
0.049364614,normal
0.029325513,normal
0.029325513,normal
0.029325513,normal
0.015151515,normal
0.015151515,normal
0.015151515,normal
0.015151515,normal
0.015151515,normal
0.002932551,normal
0.002932551,normal
0.004398827,normal
0.004398827,normal
0.013196481,normal
0.01026393,normal
0.01026393,normal
0.010752688,normal
0.010752688,normal
0.010752688,normal
0.010752688,normal
0.010752688,normal
0.013196481,normal
0.022971652,normal
0.014173998,normal
0.014173998,normal
0.021994135,normal
0.021505376,normal
0.021505376,normal
0.021505376,normal
0.041544477,normal
0.041544477,normal
0.037634409,normal
0.027859238,normal
0.027859238,normal
0.027859238,normal
0.020039101,normal
0.020039101,normal
0.020039101,normal
0.020039101,normal
0,normal
0,normal
0,normal
0,normal
0.002443793,normal
0.002443793,normal
0.002443793,normal
0.002443793,normal
0.002443793,normal
0.002443793,normal
0.002443793,normal
0.004398827,normal
0.004398827,normal
0.007331378,normal
0.004887586,normal
0.004887586,normal
0.004887586,normal
0.004887586,normal
0.004887586,normal
0.004887586,normal
0.014662757,normal
0.017106549,normal
0.017106549,normal
0.017106549,normal
0.017106549,normal
0.017106549,normal
0.017106549,normal
0.017106549,normal
0.017106549,normal
0.017106549,normal
0.007331378,normal
0.016129032,normal
0.016129032,normal
0.013196481,normal
0.013196481,normal
0.013196481,normal
0.015151515,normal
0.015151515,normal
0.015151515,normal
0.015151515,normal
0.015151515,normal
0.001955034,normal
0.001955034,normal
0.004887586,normal
0.004887586,normal
0.004887586,normal
